product_id,product_name,category,product_price
1,Truth,Toys,332.51
2,Pretty,Sprots,483.27
3,Training,Toys,28.38
4,Agent,Beauty,399.35
5,Relate,Clothing,346.37
6,Since,Clothng,268.6
7,For,Clothng,482.1
8,Claim,Electronics,72.73
9,Institution,Books,311.04
10,All,Clothng,452.71
11,Attention,Hme,393.6
12,Wonder,Clothing,129.42
13,Go,Hme,327.1
14,Speech,Hme,201.68
15,Professor,Home,111.35
16,Edge,Electronics,377.19
17,Important,Clothng,19.06
18,Describe,Sprots,71.59
19,Sea,Books,107.42
20,Use,Sprots,481.97
21,Drug,Clothing,464.47
22,One,Toys,384.72
23,Deal,Sports,249.02
24,Type,Beauty,196.3
25,Between,Sports,212.81
26,Management,Beauty,157.76
27,Trouble,Hme,203.86
28,Board,Sports,448.98
29,Society,Books,476.86
30,In,Clothing,430.94
31,Moment,Toys,356.2
32,Process,Sports,239.73
33,Citizen,Sprots,438.14
34,Bed,Hme,199.55
35,Available,Home,400.67
36,Affect,Sprots,472.16
37,Focus,Hme,92.32
38,Create,Beauty,352.97
39,Pull,Home,89.8
40,Write,Toys,189.5
41,Program,Hme,237.83
42,Stage,Sprots,435.39
43,Us,Clothing,186.62
44,Final,Books,272.89
45,Any,Books,428.22
46,Find,Clothng,251.07
47,Feel,Beauty,455.84
48,Customer,Clothing,412.7
49,Financial,Clothing,139.3
50,Parent,Sports,297.34
51,Mrs,Clothing,418.29
52,For,Beauty,177.77
53,If,Electronics,212.35
54,Community,Books,164.89
55,Cultural,Electronics,187.99
56,Loss,Electronics,142.84
57,Four,Clothng,269.13
58,Report,Sports,457.73
59,Film,Clothing,365.22
60,Listen,Home,485.37
61,Material,Books,0.0
62,Final,Sprots,426.11
63,Paper,Toys,77.3
64,Under,Clothng,18.53
65,Difference,Clothng,111.31
66,Decade,Hme,77.94
67,Picture,Home,180.29
68,Price,Books,194.32
69,Often,Hme,166.7
70,Difficult,Clothing,302.15
71,Skin,Clothing,354.85
72,Main,Clothing,138.46
73,Food,Books,486.28
74,See,Books,0.0
75,Energy,Electronics,96.58
76,Either,Electronics,26.85
77,Cover,Sprots,426.72
78,Language,Clothng,220.22
79,Reveal,Beauty,114.02
80,Want,Toys,133.22
81,Wrong,Sprots,435.11
82,Some,Books,0.0
83,Thought,Sprots,441.74
84,Believe,Hme,170.18
85,President,Sports,138.37
86,Focus,Toys,151.27
87,Public,Electronics,0.0
88,Explain,Books,46.16
89,Start,Electronics,283.52
90,It,Clothing,186.54
91,Method,Electronics,92.11
92,Billion,Home,341.64
93,Spend,Home,116.79
94,Toward,Home,0.0
95,Build,Clothing,36.32
96,Include,Beauty,160.61
97,Compare,Beauty,147.28
98,World,Sprots,319.83
99,Serve,Home,440.25
100,Together,Hme,7.46
